#separator:tab
#html:true
"<div class=afirmação>No coração a via&nbsp;<span class=""cloze"" data-cloze=""mais&#x20;r&#xE1;pida"" data-ordinal=""1"">[...]</span> comanda <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> No coração a via&nbsp;<span class=""cloze"" data-ordinal=""1"">mais rápida</span> comanda </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>“Atraso” fisiológico na condução atrioventricular é inscrito no ECG como&nbsp;<span class=""cloze"" data-cloze=""Intervalo&#x20;P&#x2D;R"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> “Atraso” fisiológico na condução atrioventricular é inscrito no ECG como&nbsp;<span class=""cloze"" data-ordinal=""1"">Intervalo P-R</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Despolarização dos átrios é inscrita no ECG como&nbsp;<span class=""cloze"" data-cloze=""Onda&#x20;P"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Despolarização dos átrios é inscrita no ECG como&nbsp;<span class=""cloze"" data-ordinal=""1"">Onda P</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Despolarização dos ventriculos é inscrita no ECG como&nbsp;<span class=""cloze"" data-cloze=""Complexo&#x20;QRS"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Despolarização dos ventriculos é inscrita no ECG como&nbsp;<span class=""cloze"" data-ordinal=""1"">Complexo QRS</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Repolarização dos ventrículos é inscrita no ECG como&nbsp;<span class=""cloze"" data-cloze=""Onda&#x20;T"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Repolarização dos ventrículos é inscrita no ECG como&nbsp;<span class=""cloze"" data-ordinal=""1"">Onda T</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Periodo Refratário é inscrito no ECG como&nbsp;<span class=""cloze"" data-cloze=""Intervalo&#x20;QT"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Periodo Refratário é inscrito no ECG como&nbsp;<span class=""cloze"" data-ordinal=""1"">Intervalo QT</span> </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hint201b361c1b5d9575').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hint201b361c1b5d9575"" class=hint style=""display: none""><div>Intervalo entre despolarização e repolarização.<br></div> </div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação>Como calcular Frequência Cardíaca no ECG?<div><br></div><div><span class=""cloze"" data-cloze=""Quadradinhos&#x20;&#x2F;&#x20;1500&#x20;ou&amp;nbsp&#x3B;&lt;br&gt;Quadrad&#xF5;es&#x20;&#x2F;&#x20;300"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Como calcular Frequência Cardíaca no ECG?<div><br></div><div><span class=""cloze"" data-ordinal=""1"">Quadradinhos / 1500 ou&nbsp;<br>Quadradões / 300</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Se a distância R-R for <span class=""cloze"" data-cloze=""&amp;gt&#x3B;5"" data-ordinal=""1"">[...]</span> ""quadradões"" = <span class=""cloze-inactive"" data-ordinal=""2"">Bradicardia</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Se a distância R-R for <span class=""cloze"" data-ordinal=""1"">&gt;5</span> ""quadradões"" = <span class=""cloze-inactive"" data-ordinal=""2"">Bradicardia</span> </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hint83b40768b5289c36').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hint83b40768b5289c36"" class=hint style=""display: none""><div>&lt; 60 bpm.<br></div> </div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação>Se a distância R-R for <span class=""cloze-inactive"" data-ordinal=""1"">&gt;5</span> ""quadradões"" = <span class=""cloze"" data-cloze=""Bradicardia"" data-ordinal=""2"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Se a distância R-R for <span class=""cloze-inactive"" data-ordinal=""1"">&gt;5</span> ""quadradões"" = <span class=""cloze"" data-ordinal=""2"">Bradicardia</span> </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hint83b40768b5289c36').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hint83b40768b5289c36"" class=hint style=""display: none""><div>&lt; 60 bpm.<br></div> </div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação>Se a distância R-R for <span class=""cloze"" data-cloze=""&amp;lt&#x3B;3"" data-ordinal=""1"">[...]</span> ""quadradões"" = <span class=""cloze-inactive"" data-ordinal=""2"">Taquicardia</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Se a distância R-R for <span class=""cloze"" data-ordinal=""1"">&lt;3</span> ""quadradões"" = <span class=""cloze-inactive"" data-ordinal=""2"">Taquicardia</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Se a distância R-R for <span class=""cloze-inactive"" data-ordinal=""1"">&lt;3</span> ""quadradões"" = <span class=""cloze"" data-cloze=""Taquicardia"" data-ordinal=""2"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Se a distância R-R for <span class=""cloze-inactive"" data-ordinal=""1"">&lt;3</span> ""quadradões"" = <span class=""cloze"" data-ordinal=""2"">Taquicardia</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>No ECG - 1 ""quadradinho"" tem&nbsp;<span class=""cloze"" data-cloze=""40"" data-ordinal=""1"">[...]</span>ms <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> No ECG - 1 ""quadradinho"" tem&nbsp;<span class=""cloze"" data-ordinal=""1"">40</span>ms </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>No ECG -&nbsp;Um ""quadradão"" tem <span class=""cloze"" data-cloze=""5"" data-ordinal=""1"">[...]</span> quadradinhos <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> No ECG -&nbsp;Um ""quadradão"" tem <span class=""cloze"" data-ordinal=""1"">5</span> quadradinhos </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Intervalo PR = <span class=""cloze"" data-cloze=""120&#x2D;200"" data-ordinal=""1"">[...]</span>ms <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Intervalo PR = <span class=""cloze"" data-ordinal=""1"">120-200</span>ms </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hint4f8bc9acfecab000').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hint4f8bc9acfecab000"" class=hint style=""display: none""><div>3-5 quadradinhos.</div> </div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação>QRS estreito <span class=""cloze"" data-cloze=""&amp;lt&#x3B;&#x20;120"" data-ordinal=""1"">[...]</span> ms <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> QRS estreito <span class=""cloze"" data-ordinal=""1"">&lt; 120</span> ms </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hint4e4ed388cdac90ba').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hint4e4ed388cdac90ba"" class=hint style=""display: none""><div>3 quadradinhos.</div> </div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação>Intervalo QT = <span class=""cloze"" data-cloze=""440"" data-ordinal=""1"">[...]</span> ms <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Intervalo QT = <span class=""cloze"" data-ordinal=""1"">440</span> ms </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>O que ver da Onda P?<div><br /></div><div><span class=""cloze"" data-cloze=""Deve&#x20;estar&#x20;Positiva&#x2C;&#x20;Regular&#x20;e&#x20;Precedendo&#x20;todos&#x20;os&#x20;QRS&#x20;em&#x20;D2"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> O que ver da Onda P?<div><br /></div><div><span class=""cloze"" data-ordinal=""1"">Deve estar Positiva, Regular e Precedendo todos os QRS em D2</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Derivação para ver onda P é&nbsp;<span class=""cloze"" data-cloze=""D2"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Derivação para ver onda P é&nbsp;<span class=""cloze"" data-ordinal=""1"">D2</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Ritmo sinual + QRS alargado = Investigar <span class=""cloze"" data-cloze=""bloqueio&#x20;de&#x20;ramo"" data-ordinal=""1"">[...]</span>&nbsp; <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Ritmo sinual + QRS alargado = Investigar <span class=""cloze"" data-ordinal=""1"">bloqueio de ramo</span>&nbsp; </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Após uma PCR, há perda de consciência após <span class=""cloze"" data-cloze=""3&#x20;segundos&#x2E;"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Após uma PCR, há perda de consciência após <span class=""cloze"" data-ordinal=""1"">3 segundos.</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Taquicardia Sinusal - É considerada uma arritmia? <br><br><span class=""cloze"" data-cloze=""&lt;b&gt;N&#xE3;o&#x20;&#xE9;&#x20;arritmia&lt;&#x2F;b&gt;"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Taquicardia Sinusal - É considerada uma arritmia? <br><br><span class=""cloze"" data-ordinal=""1""><b>Não é arritmia</b></span> </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hint570235ed7a3511ec').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hint570235ed7a3511ec"" class=hint style=""display: none""><div>Pegadinha</div> </div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação>Taquicardia Atrial - A onda P está&nbsp;<span class=""cloze"" data-cloze=""Presente&#x2C;&#x20;mas&#x20;anormal"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Taquicardia Atrial - A onda P está&nbsp;<span class=""cloze"" data-ordinal=""1"">Presente, mas anormal</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Flutter Atrial - Onda P&nbsp;<span class=""cloze"" data-cloze=""ausente"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Flutter Atrial - Onda P&nbsp;<span class=""cloze"" data-ordinal=""1"">ausente</span> </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hintd11335479f2b1a73').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hintd11335479f2b1a73"" class=hint style=""display: none""><div>Tem é onda F.</div> </div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação>Flutter Atrial - Onda F&nbsp;<span class=""cloze"" data-cloze=""negativa"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Flutter Atrial - Onda F&nbsp;<span class=""cloze"" data-ordinal=""1"">negativa</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Flutter Atrial - Onda F nas derivações <span class=""cloze"" data-cloze=""D2&#x20;D3&#x20;aVF"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Flutter Atrial - Onda F nas derivações <span class=""cloze"" data-ordinal=""1"">D2 D3 aVF</span> </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hint36e445bbab79c9bf').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hint36e445bbab79c9bf"" class=hint style=""display: none"">Parede inferior.</div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação>Flutter Atrial - Átrios batendo a ±&nbsp;<span class=""cloze"" data-cloze=""300&#x20;bpm"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Flutter Atrial - Átrios batendo a ±&nbsp;<span class=""cloze"" data-ordinal=""1"">300 bpm</span> </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hint9edb6303513d2688').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hint9edb6303513d2688"" class=hint style=""display: none""><div>Geralmente condução 2:1;<br></div><div>Ventriculos a 150bpm.</div> </div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação>Flutter Atrial - Geralmente condução <span class=""cloze"" data-cloze=""2"" data-ordinal=""1"">[...]</span>:1 <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Flutter Atrial - Geralmente condução <span class=""cloze"" data-ordinal=""1"">2</span>:1 </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze-inactive"" data-ordinal=""2"">Flutter Atrial</span> - Aspecto <span class=""cloze"" data-cloze=""serrilhado"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze-inactive"" data-ordinal=""2"">Flutter Atrial</span> - Aspecto <span class=""cloze"" data-ordinal=""1"">serrilhado</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze"" data-cloze=""Flutter&#x20;Atrial"" data-ordinal=""2"">[ECG]</span> - Aspecto <span class=""cloze-inactive"" data-ordinal=""1"">serrilhado</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze"" data-ordinal=""2"">Flutter Atrial</span> - Aspecto <span class=""cloze-inactive"" data-ordinal=""1"">serrilhado</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Extrassístole - Definida por&nbsp;<span class=""cloze"" data-cloze=""QRS&#x20;antes&#x20;da&#x20;hora"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Extrassístole - Definida por&nbsp;<span class=""cloze"" data-ordinal=""1"">QRS antes da hora</span> </div>



</div>

</div><br>

<div class=direito>"
