"<div class=afirmação>Fibrilação Ventricular - Características de QRS caótico no ECG <br></div>"	"<div class=afirmação>Fibrilação Ventricular apresenta um traçado caótico sem QRS definidos</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId151').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId151\" class=hint style=\"display: none\"><div>O ECG de fibrilação ventricular mostra um padrão irregular e caótico, necessitando intervenção imediata.</div></div></div>"
"<div class=afirmação>Fibrilação Ventricular - Ritmo extremamente rápido <br></div>"	"<div class=afirmação>Fibrilação Ventricular apresenta frequência entre 400-600 bpm</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId152').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId152\" class=hint style=\"display: none\"><div>Altas frequências podem resultar em colapso circulatório e são emergências médicas.</div></div></div>"
"<div class=afirmação>Flutter Atrial - Onda F característica <br></div>"	"<div class=afirmação>Flutter Atrial exibe ondas F com padrão de dente de serra</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId153').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId153\" class=hint style=\"display: none\"><div>As ondas F, em formato de dente de serra, são típicas do flutter atrial e indicam uma ativação atrial rápida.</div></div></div>"
"<div class=afirmação>Flutter Atrial - Condução 2:1 <br></div>"	"<div class=afirmação>Flutter Atrial frequentemente apresenta uma relação de condução 2:1, transmitindo metade dos impulsos atriais</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId154').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId154\" class=hint style=\"display: none\"><div>Esta relação reduz a frequência ventricular mesmo com alta atividade atrial, sendo um achado clássico no flutter.</div></div></div>"
"<div class=afirmação>Síndrome de Wolff-Parkinson-White - Diagnóstico <br></div>"	"<div class=afirmação>Síndrome de Wolff-Parkinson-White é identificada por intervalo PR curto e presença de onda delta</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId155').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId155\" class=hint style=\"display: none\"><div>O ECG com WPW evidencia condução via uma via acessória, causando encurtamento do intervalo PR e formação da onda delta.</div></div></div>"
"<div class=afirmação>ECG na Doença do Nó Sinusal - Arritmia <br></div>"	"<div class=afirmação>Alterações no ritmo sinusal podem indicar disfunção do nó sinusal</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId156').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId156\" class=hint style=\"display: none\"><div>Episódios de pausas ou irregularidades podem ocorrer em disfunção do nó sinusal.</div></div></div>"
"<div class=afirmação>ECG na Doença do Nó Sinusal - Bradicardia <br></div>"	"<div class=afirmação>Frequência inferior a 60 bpm com ritmo sinusal</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId157').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId157\" class=hint style=\"display: none\"><div>Embora bradicardia possa ser normal em atletas, em outros casos pode indicar patologia do nó sinusal.</div></div></div>"
"<div class=afirmação>ECG na Doença do Nó Sinusal - Taquicardia <br></div>"	"<div class=afirmação>Frequência superior a 100 bpm com ritmo sinusal</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId158').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId158\" class=hint style=\"display: none\"><div>Essa resposta pode ocorrer em situações de estresse ou febre, refletindo a função normal do nó sinusal.</div></div></div>"
"<div class=afirmação>ECG na Miocardiopatia Dilatada - Alterações <br></div>"	"<div class=afirmação>Miocardiopatia Dilatada apresenta baixa voltagem e QRS alargado</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId159').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId159\" class=hint style=\"display: none\"><div>Esses achados refletem a dilatação do ventrículo e a redução da função contrátil.</div></div></div>"
"<div class=afirmação>ECG em Miocardite Aguda - Padrão difuso <br></div>"	"<div class=afirmação>Miocardite Aguda pode apresentar alterações difusas no ST e T</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId160').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId160\" class=hint style=\"display: none\"><div>As alterações podem ser leves e difusas, dependendo do contexto clínico.</div></div></div>"
"<div class=afirmação>ECG em Pericardite Aguda - Alterações <br></div>"	"<div class=afirmação>Pericardite Aguda mostra elevação difusa do ST e depressão do segmento PR</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId161').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId161\" class=hint style=\"display: none\"><div>Esses achados são típicos da inflamação pericárdica e auxiliam no diagnóstico.</div></div></div>"
